"team_a","team_b","gender","series","team_a_venue","toss_winner","toss_decision","first_innings_total","day_night","rain","duckworth_lewis","win_toss_win_game"
"Pakistan","Zimbabwe","M","low","away","Zimbabwe","bat",204,"0","0","0","lost"
"Australia","England","F","high","away","Australia","field",96,"0","0","0","won"
"India","Sri Lanka","M","high","away","Sri Lanka","field",292,"0","0","0","lost"
"India","New Zealand","F","low","home","New Zealand","bat",202,"0","0","0","lost"
"West Indies","Zimbabwe","M","medium","away","West Indies","bat",232,"1","0","0","won"
"West Indies","Sri Lanka","F","low","home","Sri Lanka","field",197,"0","0","0","lost"
"Sri Lanka","Australia","M","low","home","Sri Lanka","field",207,"0","0","0","won"
"New Zealand","South Africa","M","medium","away","South Africa","field",224,"1","0","0","lost"
"Bangladesh","Pakistan","M","low","home","Bangladesh","bat",220,"1","0","0","won"
"Pakistan","India","M","medium","home","Pakistan","bat",265,"0","0","0","won"
"Pakistan","India","F","medium","home","Pakistan","bat",94,"0","0","0","won"
